gs_name	gene
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000228321
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000228849
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000228978
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000230108
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000232810
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000141655
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000120659
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000117586
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000124731
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000196689
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000241635
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000162692
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000112299
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000188372
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000170425
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000271503
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000274233
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000156234
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000137869
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000049768
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000269002
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000131203
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000136634
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000113520
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000173503
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000223919
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000226275
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000226979
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000230279
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000231408
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000238130
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000143546
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000163220
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000137801
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000204490
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000206439
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000223952
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000228321
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000228849
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000228978
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000230108
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000232810
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000118503
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000092929
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000162692
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	ENSG00000112299
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	ENSG00000101986
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	ENSG00000173208
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	ENSG00000121281
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	ENSG00000012779
